# openset_names closet_names likelihood_matrix
wall,tile wall,floor,carpet,cabinet,closet,file cabinet,bed,dresser,chair,armchair,swivel chair,couch,table,side table,round table,kitchen table,door,glass door,window,bookshelf,shelf,picture,picture frame,poster,counter top,kitchen counter,computer desk,office desk,curtain,fridge,shower curtain,toilet bowl,sink,bathroom sink,bath,tub,bin
wall,floor,cabinet,bed,chair,sofa,table,door,window,bookshelf,picture,counter,desk,curtain,refrigerator,shower curtain,toilet,sink,bathtub,otherfurniture
0.075617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009790,0.720144,0.011175,0.000000,0.002166,0.000000,0.009081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009830
0.000000,0.074926,0.000000,0.000000,0.000000,0.000000,0.019295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006994
0.026366,0.000000,0.397324,0.000000,0.000000,0.000000,0.000000,0.027258,0.015156,0.121678,0.000000,0.000000,0.021404,0.000000,0.069495,0.000000,0.000000,0.000000,0.000000,0.049126
0.065171,0.000000,0.120085,0.000000,0.000000,0.000000,0.000000,0.215352,0.019302,0.063645,0.000000,0.000000,0.000000,0.000000,0.029548,0.000000,0.000000,0.000000,0.000000,0.056627
0.000000,0.000000,0.079965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056741,0.000000,0.000000,0.023806,0.000000,0.027828,0.000000,0.000000,0.000000,0.000000,0.016295
0.014688,0.000000,0.000000,0.763208,0.000000,0.016948,0.008452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042558
0.000000,0.000000,0.096581,0.000000,0.000000,0.000000,0.004585,0.000000,0.000000,0.047322,0.000000,0.000000,0.052364,0.000000,0.036029,0.000000,0.000000,0.000000,0.000000,0.032088
0.000000,0.000000,0.000000,0.017061,0.644090,0.186446,0.030744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090755
0.000000,0.000000,0.000000,0.000000,0.161128,0.210941,0.022109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067746
0.000000,0.000000,0.000000,0.000000,0.318009,0.022146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.053638,0.685248,0.008946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035547
0.000000,0.002227,0.056196,0.000000,0.005525,0.000000,0.666827,0.000000,0.000000,0.000000,0.000000,0.062246,0.377809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070300
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
